opeid,name,address,city,state,zip,number_of_defaults,number_of_loans,default_rate
11921,WESTCHESTER SCHOOL OF BEAUTY CULTURE                             ,6 GRAMATAN AVENUE                  SUITE 200      ,MOUNT VERNON        ,NY,10550,3,40,7.5
11934,VERMONT LAW SCHOOL                                               ,164 CHELSEA STREET                                ,SOUTH ROYALTON      ,VT,5068,1,261,0.3
11941,AMERICAN UNIVERSITY OF PUERTO RICO                               ,ROAD 2 KM. 14  HATO TEJAS                         ,BAYAMON             ,PR,960,32,251,12.7
12015,AUSTIN COMMUNITY COLLEGE                                         ,5930 MIDDLE FISKVILLE ROAD                        ,AUSTIN              ,TX,78752,1276,7028,18.1
12020,VICTORIA BEAUTY COLLEGE                                          ,1508 NORTH LAURENT                                ,VICTORIA            ,TX,77901,12,62,19.3
12026,BELLUS ACADEMY                                                   ,1073 EAST MAIN STREET                             ,EL CAJON            ,CA,92021,14,131,10.6
12031,SAN DIEGO CHRISTIAN COLLEGE                                      ,200 RIVERVIEW PARKWAY                             ,SANTEE              ,CA,92071,46,292,15.7
12042,MANSFIELD BEAUTY SCHOOLS                                         ,200 PARKINGWAY                                    ,QUINCY              ,MA,2169,2,40,5
12050,ROSEDALE TECHNICAL COLLEGE                                       ,215 BEECHAM DRIVE SUITE 2                         ,PITTSBURGH          ,PA,15205,25,227,11
12051,PRO WAY HAIR SCHOOL                                              ,5684 MEMORIAL DRIVE                               ,STONE MOUNTAIN      ,GA,30083,21,144,14.5
12059,TRINITY BIBLE COLLEGE AND GRADUATE SCHOOL                        ,50 - 6TH AVENUE SOUTH                             ,ELLENDALE           ,ND,58436,9,107,8.4
12064,HAMILTON TECHNICAL COLLEGE                                       ,1011 EAST 53RD STREET                             ,DAVENPORT           ,IA,52807,42,211,19.9
12068,MANSFIELD BEAUTY SCHOOLS                                         ,266 BRIDGE STREET                                 ,SPRINGFIELD         ,MA,1103,9,69,13
12088,SULLIVAN COLLEGE OF TECHNOLOGY AND DESIGN                        ,3901 ATKINSON SQUARE DRIVE                        ,LOUISVILLE          ,KY,40218,56,326,17.1
12090,ROBERT FIANCE BEAUTY SCHOOLS                                     ,312 STATE STREET                                  ,PERTH AMBOY         ,NJ,8861,19,148,12.8
